Descrição,Quantidade,Preço Unit. (R$)
"ACERTALIX 10+2,5MG C 30 COMP REV",1,83.38
"ACERTALIX 5+1,25MG 30CP",1,69.18
"ACERTANLO 3,5MG/2,5MG 30CP",1,53.05
ACERTANLO 7MG/5MG 30CP,1,71.41
ACERTIL 10MG 30CP,2,57.73
ACERTIL 5MG 30CP,1,43.28
ACETATO DE CLORMADINONA+ETINILESTRADI,2,12.99
ACETATO DE DEXAMETASONA CR 10G GEOLAB,17,6.91
ACETATO DE DEXAMETASONA CR 10G PRATI,1,7.4
ACETATO DE HIDROCORTISONA CR 30G TEUT,2,15.85
ACETILCISTEINA 100MG 16X5G EUROFARMA,1,20.77
ACETILCISTEINA 120MG 16ENV 5G PRT,10,16.87
ACETILCISTEINA 40MG 16ENV 5G,3,18.47
ACETILCISTEINA XP AD 120ML GEOLAB,2,10.94
ACETILCISTEINA XP AD 120ML GERMED,5,27.63
ACETILCISTEINA XP IF 120ML GEOLAB,4,19.21
ACETILCISTEINA XP IF 120ML LEGRAND,6,22.19
ACETONA 100ML FARMAX,83,2.46
ACETONA 500ML FARMAX,8,11.29
ACETONIDA DE TRIANCINOLONA PM 10G GER,4,9.66
ACICLOVIR 200MG 25CP NOVARTIS,4,7.46
ACICLOVIR 200MG 30CP PRATI/DONADUZZI,10,11.3
ACICLOVIR 400MG 30CP PRATI/DONADUZZI,2,34.1
ACICLOVIR 50MG/G 10G,1,3.3
ACICLOVIR 50MG/G 10G PRATI/DONADUZZI,10,4.18
ACIDIF SIAGE RESGATE IMEDIATO 150ML,1,46.59
ACIDIF.SALON LINE ANTIPORO D REPENT P,3,15.99
ACIDIF.SALON LINE MEU LISO ESCUDO ANT,3,15.66
ACIDO ACETILSALICILICO 100MG 30CP,4,7.66
ACIDO ACETILSALICILICO 100MG 60CP,1,14.51
ACIDO ACETILSALICILICO IF 30CP EMS,3,9.62
ACIDO TRANEXAMICO 250MG 12CP LEGRAND,6,39.58
ACNASE CR 25G,1,46.66
ACNASE GEL 20G,1,27.85
ACNASE LAP 3G,2,15.95
ACNASE SAB 110G,2,12.03
ACNASE SAB ANTIACNE 80G,1,12.48
ACNASE SAB ESFOLIANTE 80G,2,12.42
ACNASE SAB LIMPEZA PROFUNDA 80G,2,12.44
ACNIBEN ESFOL GEL FAC 105G,1,62.18
ACNIBEN ESPUMA LIMP FACIAL 150ML,1,43.21
ACNIBEN MICELLAR CLEANSER 400ML,1,73.91
ACNIBEN SAB FACIAL BARRA 80G,1,26.12
ACNIBEN SAB LIQ LIMPEZA 208G,2,45.66
ACNIBEN SAB LIQ LIMPEZA 416G,1,69.92
ACTINE GEL DE LIMPEZA 240G,1,52.99
ACTINE GEL DE LIMPEZA 400G,7,51.57
ACTINE GEL DE LIMPEZA CONTROL 140G,2,46.64
ACTINE GEL DE LIMPEZA CONTROL 400G,2,60.47
ACTINE ONE FPS50 SEM COR 40G,2,45.09
ACTINE PROT.SOLAR COR FPS60 40G,2,48.81
ACTINE PROT.SOLAR FPS60 40G,2,41.44
ACTINE PROT.SOLAR TOM 1 FPS50 40G,2,33.0
ACTINE PROT.SOLAR TOM 2 FPS50 40G,2,33.0
ACTINE PROT.SOLAR TOM 3 FPS50 40G,2,33.0
ACU FRESH COL 10ML GEOLAB,6,16.7
ACU FRESH COL 5MG 10 ML GEOLAB,2,12.7
ACUCAR UNIAO 1KG,10,4.79
AD-MUC KIDS GEL 10G-DEMAIS,1,45.09
AD-TIL 20ML,1,18.09
ADACNE CLIN GEL 45G*,1,65.24
ADAPALENO GEL 1MG 30G MEDLEY ML,1,20.51
ADAPTADOR TOMADA UNIVERSAL,2,29.06
ADAPTIS 1% COL 10ML,1,59.98
ADDERA CAL 1000UI C/30 COMP,1,50.02
ADDERA CAL 2000UI C/30 COMP,1,93.66
ADDERA D3 10.000UI C/ 4 COMP,1,35.12
ADDERA D3 50.000UI 4CAPS,1,107.69
ADDERA D3 7.000UI 30 CAPS GEL,1,91.57
ADDERA MAX CAL C 30 COMP,1,99.7
ADDERA+IMUNIDADE MAX 30CP,1,76.36
ADEFORTE 1X3ML,3,20.52
ADEFORTE TURBO AMPOLA C 3ML,4,30.0
ADESIVO PARA COLICA C/1UN DOUTORSAN,1,9.99
ADESIVO PARA FEBRE G C/2UN DOUTORSAN,3,9.99
ADESIVO PARA FEBRE P C/2UNI DOUTORSAN,2,9.99
ADINOS GEL 15G,2,12.35
ADIPEPT 40MG 28CP,1,33.1
ADOC.ADOCYL SACARINA 100ML,3,3.36
ADOC.ADOCYL SACARINA 200ML,2,6.2
ADOC.ADOCYL STEVIA 80ML,3,7.06
ADOC.ADOCYL SUCRALOSE 80ML,1,6.06
ADOC.FINN GT SUCRALOSE 65ML,2,8.98
ADOC.FINN PO XILITOL 30X5G SC,2,27.91
ADOC.LINEA GT 75ML,6,10.88
ADOC.LINEA PO LV3 PG2,21,13.95
ADOC.LINEA STEVIA GT 60ML,6,7.99
ADOC.ZERO CAL 100ML,3,6.05
ADOC.ZERO CAL 200ML,5,10.29
ADOC.ZERO CAL ERITRITOL 65ML,1,13.31
ADOC.ZERO CAL PO 30X 5G ERITRITOL,2,28.28
"ADOC.ZERO CAL PO 50X0,8G STEVIA",5,9.27
"ADOC.ZERO CAL PO 50X0,8G SUCRALOSE",3,8.49
ADOLESS 28CP,1,33.58
ADVANTAN 0.01% CR 15G,1,48.75
ADVANTAN LC CREMOSA BIS.20G,4,88.2
ADVIL 12H 600MG 6CP,3,20.15
ADVIL 400MG 16CP,2,33.83
ADVIL 400MG 3CAPS,27,5.37
ADVIL 400MG 8CAPS,16,16.75
AERODINI SPRAY 200DOSES TEUTO,23,27.5
AEROLIN SPR 200DOSES,9,17.66
AFOPIC 5MG 20CP TEUTO,2,7.79
AGUA BORICADA 100ML FARMAX,20,2.25
AGUA COLONIA MURIEL ACQUA VANILLA 250,3,14.2
AGUA COLONIA MURIEL FLOR AMENDOA 250M,2,12.78
AGUA COLONIA MURIEL LAVANDA 250ML,2,14.2
AGUA INGLESA CATARINENSE 500ML,2,23.26
AGUA MICELAR 100ML FACE BEAUTIFUL,1,4.0
AGUA MICELAR 400ML,2,39.99
AGUA MICELAR ULTRA LA ROCHE 200ML 1UN,1,80.74
"AGUA MINERAL CRYSTAL 1,5ML",30,2.99
AGUA MINERAL CRYSTAL 500ML,8,1.99
"AGUA MINERAL CRYSTAL C/GAS 1,5ML",39,2.04
AGUA MINERAL CRYSTAL C/GAS 500ML,23,1.99
"AGUA MINERAL MINALBA 1,5LT",1,3.69
AGUA MINERAL S/GAS MINALBA 510ML,1,1.42
AGUA MINERAL VITORIOSA 500ML,2,1.69
AGUA OXIGENADA 10 VOLUMES 100ML UNIPH,4,2.28
AGUA OXIGENADA 100ML 20V CREMOSO,9,2.84
AGUA OXIGENADA 100ML 40V CREMOSO,2,4.32
AGUA OXIGENADA 10VOL 100ML FARMAX,30,2.31
AGUA OXIGENADA 80ML SPRAY 10V MUSA,13,5.89
AGUA OXIGENADA CREMOSA MARCIA 20VOL,19,1.49
AGUA OXIGENADA CREMOSA MARCIA 30VOL,36,1.35
AGUA OXIGENADA CREMOSA MARCIA 40VOL,37,1.58
AGUA OXIGENADA CREMOSA MARCIA 900ML 3,3,10.61
AGUA OXIGENADA CREMOSA MARCIA 900ML 4,3,10.61
AGULHA P/CANETA 4MM ACCU-FINE,90,0.69
AGULHA P/CANETA BD ULTRAFINE 5/16,100,1.03
AIDE 3 GT 10ML,1,46.73
AIDE 3 GT 20ML,1,78.51
AKINETON 2MG 80CP *,2,28.19
ALBEL 400MG 1CPS GEOLAB,19,5.86
ALBEL 400MG 3CPS GEOLAB,10,17.59
ALBEL 400MG 5CPD MASTIG GEOLAB,7,7.22
ALBEL SS 10ML GEOLAB,9,6.66
ALBENDAZOL 400MG 1CP PRATI-DONADUZZI,110,5.39
ALBENDAZOL 400MG 3CP,1,3.6
ALBENDAZOL 400MG 5CP PRATI/DONADUZZI,1,5.8
ALBENDAZOL SS 40MG 10ML PRATIDONADUZZ,25,5.29
ALBOCRESIL GEL 50G,1,34.66
ALBOCRESIL SL 12ML,2,35.05
ALCOOL 70% 1 L TUPI,4,7.99
ALCOOL 70% 50ML FARMAX,11,2.77
ALCOOL ASSEPSIA SWABS UN,1,16.4
ALCOOL GEL GIOVANNA BABY 500ML AZUL,1,16.78
ALCOOL GEL GIOVANNA BABY 60ML CLAS,5,4.56
