Descrição,Quantidade,Preço Unit. (R$)
CR.SEDA P/PENTEAR 350ML BOOM DEFINIC,2,6.91
CR.SEDA P/PENTEAR 350ML BOOM DEF.INTE,3,6.42
CR.SEDA P/PENTEAR 350ML BOOM MOD.ANTI,2,6.42
CR.SEDA P/PENTEAR 700ML BOOM VOLUME M,2,12.48
CR.SEDA P/PENTEAR 700ML BRILHO CERAMI,1,12.48
CR.SEDA P/PENTEAR 900ML CACHOS DEFINI,1,18.42
CR.SEDA P/PENTEAR 900ML REGENER+DEFIN,1,18.42
CR.SEDA P/PENTEAR BOOM 1KG DEFINI FLE,1,19.82
CR.SEDA P/PENTEAR BOOM 1KG DEFINICAO,2,20.23
CR.SEDA P/PENTEAR BOOM 1KG VOLUMAO PO,1,19.82
CR.SEDA P/PENTEAR BOOM VOLUMAO POWER,4,10.34
CR.SEDA TRATAMENTO 300G LISO PERFEIT,3,12.73
CR.SEDA TRATAMENTO 300G BRILHO CERAMI,2,12.73
CR.SEDA TRATAMENTO 300G CACHOS DEFINI,2,12.99
CR.SEDA TRATAMENTO 300G TOQUE DE SEDA,1,12.73
CR.SKALA ACACHONADOS 1000G,8,7.92
CR.SKALA BOMBA DE BIOTINA 1KG,1,6.95
CR.SKALA PENTEAR AM.MILHO 250G,2,6.57
CR.SKALA PENTEAR EXPERT BOMBA 250G,2,6.28
CR.SKALA PENTEAR FORCA E BRILHO 250G,1,6.28
CR.SKALA TRATAMENTO 1KG 12 EM 1,2,6.99
CR.SKALA TRATAMENTO 1KG 18 ELEMENTOS,7,6.99
CR.SKALA TRATAMENTO 1KG ABACATE,3,7.9
CR.SKALA TRATAMENTO 1KG ACAI,7,6.99
CR.SKALA TRATAMENTO 1KG AMIDINH DE MI,6,6.99
CR.SKALA TRATAMENTO 1KG AMIDO DE MILH,4,6.99
CR.SKALA TRATAMENTO 1KG ARGAN MARROQU,3,6.99
CR.SKALA TRATAMENTO 1KG BABOSA,4,6.99
CR.SKALA TRATAMENTO 1KG BOMBA BANANA,2,6.99
CR.SKALA TRATAMENTO 1KG CERAMIDAS,4,6.99
CR.SKALA TRATAMENTO 1KG CEREJA,4,6.99
CR.SKALA TRATAMENTO 1KG COQUETEL DE F,2,6.99
CR.SKALA TRATAMENTO 1KG DIVINA COR,2,6.99
CR.SKALA TRATAMENTO 1KG EXTRA LISOS,2,6.99
CR.SKALA TRATAMENTO 1KG LAMA NEGRA,5,6.99
CR.SKALA TRATAMENTO 1KG MAIONESE,2,6.99
CR.SKALA TRATAMENTO 1KG MAIS CACHINHO,12,6.99
CR.SKALA TRATAMENTO 1KG MAIS CRESPINH,6,6.99
CR.SKALA TRATAMENTO 1KG MARACUJA/PATA,2,7.9
CR.SKALA TRATAMENTO 1KG MORANGO,23,6.99
CR.SKALA TRATAMENTO 1KG OLEO DE COCO,3,6.99
CR.SKALA TRATAMENTO 1KG POTAO MELANCI,17,6.99
CR.SKALA TRATAMENTO 1KG TUTANO,12,6.99
CR.SKALA TRATAMENTO 1KG UVA,16,6.99
CR.TRAT ELSEVE PURE HIALURONICO 300GR,7,19.19
CR.TRESEMME TRATAMENTO 400G BLIND ANT,1,19.82
CR.YAMASTEROL 200G APLICADOR BABOSA,3,4.96
CR.YAMASTEROL 200G APLICADOR BRANCO,3,5.07
CR.YAMASTEROL 320G BRANCO,2,8.14
CR.YAMASTEROL 900G BABOSA,2,20.66
CR.YAMASTEROL 90G APLICADOR BABOSA,5,3.13
CR.YAMASTEROL 90G APLICADOR BRANCO,2,3.13
CREATINA FIRE 300G MAXINUTRI,2,85.78
CREME DE UREIA 3% BELLAPHYTUS 100ML,1,13.99
CREME DENTAL TRA LALA S/FLU T FRUTTI,3,8.81
CREME HIDRATANTE CH-01 50G,2,30.03
CREON 10.000UI 30CP,2,69.49
CREVAGIN 7 APLICADORES,1,29.34
CRISPIES PROTEIN CHOCOLATE 180G,3,27.73
"CRONOBE 5000MG 2X2,5ML",3,34.49
CULTURELLE PROBIOT JR C 6 SACHES,1,38.27
CURATIVO BEGE C/10 UN MISSNER,24,2.85
CURATIVO CREMER 10UN MARROM ESCURO,2,3.84
CURATIVO CREMER ADV ACNE E ESPINHA 24,4,15.64
CURATIVO CREMER ADVANCED 8UN,1,15.49
CURATIVO CREMER CARE BEGE 10UN,15,3.92
CURATIVO CREMER CARE EXTRA GRANDE 8UN,5,11.59
CURATIVO CREMER CARE MINIOS 10UN,6,4.5
CURATIVO CREMER JOELHO E COTOVELO 6UN,4,19.0
CURATIVO MARROM C/10 UN MISSNER,13,2.48
CURATIVO SALVELOX 10UN TRADICIONAL,9,2.26
CURATIVO SHOW DA LUNA C/10 UN MISSNE,6,4.39
CURATIVO TRANSP 15UN MISSNER PROVA D',20,3.68
CURATIVO TRANSP.REDONDO C/16UN MISSNE,12,1.94
CURATIVO TRANSPARENTE C/10 UN MISSNER,41,2.75
CURATIVO TRANSPARENTE C/40 UN MISSNER,12,5.98
CURATIVO TRANSPARENTE EXT.G C/10 UN M,6,10.49
CURATIVOS TOPZ 10UN PATRULHA CANINA,2,4.3
CURCUMA 500MG 60CAPS FORTLIFE,1,40.18
CURVEX DE CILIOS YOU SE.ME,3,7.65
CUTISANOL GEL 100G,2,59.02
CUTISANOL PO 150G,1,45.22
CYLOCORT COL 5ML,1,33.63
CYMBI 30MG 30CAPS*,1,63.04
CYMBI 60MG 30CAPS*,1,118.6
DAFLON 1000MG 30CP,1,122.24
DAFLON 500MG 30CP,1,74.24
DAFORIN 20MG 30CP *,1,74.48
DAFORIN GT 20ML *,1,38.34
DAMATER 30CP,1,57.14
DAMATER OMEGA C/30CP,1,102.4
DAPAGLIFLOZINA 10MG C/30 CP MEDQUIMIC,3,85.2
"DASTENE 0,5MG C/ 30 CAPS",1,101.38
DAYVIT KIDS SS 120ML,3,46.49
DECA DURABOLIN 50MG 1AP *,7,20.21
"DECADRON 0,50MG 20CP",2,6.6
DECADRON 4MG 10CP,2,19.8
"DECADRON 4MG 1X2,5ML",2,11.78
DECADRON COLIRIO 5ML,2,9.78
DECADRON EL 120ML,2,17.91
DECONGEX PLUS 12CP,2,25.21
DECONGEX PLUS GT 20ML,2,14.03
DECONGEX PLUS XP 120ML,14,22.37
DEF B 1000MCG C 30 VITA B12 SUBL,2,28.18
DEFLAZACORTE 6MG 20CP NOVA QUIMICA,2,37.25
DEFRIZANTE SALON LINE 200ML M.LISO DE,2,11.21
DEFRIZANTE SALON LINE 200ML MUITO+LIS,3,11.0
DELLER 50MG 30CP*,1,56.68
DELTAMETRIL D EMULSÃO SH 100ML MEDQUI,3,17.24
DELTAPIL SH 100ML BELFAR,1,15.09
DELUMI 50.000UI 4 CP VITAMINA D GEOLA,4,7.45
DEMAQUILANTE BIFASICO F.BEAUTIFUL 120,2,9.5
DEMAQUILANTE NIVEA 200ML 6 EM 1,1,20.0
DEMAQUILANTE ROSA MOSQUETA 100ML,2,4.0
DEO COL.MURIEL ACQUA ESSENCE ALFAZ.25,2,14.25
DEO COL.SUISSA ALFAZEMA 115ML,2,19.6
DEO COL.SUISSA ALFAZEMA 500ML,1,27.74
DEO COL.TABU 60ML,2,10.29
DEOCIL SUBL.10MG 10CP,7,31.45
DEPAKENE 250MG 25CL *,1,18.76
DEPAKENE 500MG 50CP *,2,78.18
DEPAKENE XP 100ML *,8,21.44
DEPAKOTE 250MG 30CP *,1,44.53
DEPAKOTE 500MG 30CP *,1,83.0
DEPAKOTE ER 250MG 30CP *,1,41.44
DEPAKOTE ER 250MG 60CP *,1,73.94
DEPAKOTE ER 500MG 30CP *,1,82.99
DEPAKOTE SPRINKLE 125MG 30CP *,1,26.15
DEPIL BELLA LENCOS P/DEPILACAO 100UN,2,17.29
DEPIL BELLA LENCOS P/DEPILACAO 20UN,1,6.56
DEPIL BELLA LENCOS P/DEPILACAO 50UN,2,13.87
DEPILE OLEO REMOVEDOR 500ML REF2370,6,21.99
DEPIROLL CERA FRIA CORPORAL 240G TRAD,1,26.33
DEPIROLL CERA FRIA P/PERNAS TRADIC.12,1,16.1
DEPIROLL CERA QUENTE 1KG TRAD BLOCO,1,53.75
DEPIROLL CERA QUENTE 500G ROSA BLOCO,2,27.11
DEPIROLL CERA REFIL 100G ALGAS,1,6.0
DEPIROLL CRM DEP. 130G CORPORAL MEN,2,28.31
DEPIROLL CRM DEP. 130G SHOWER POWER,1,28.31
DEPO PROVERA 150MG INJ 1ML,2,38.68
DEPOSTERON 200MG 3X2ML *,2,115.0
DERCOS COND.KERA SOLUTIONS 200ML,1,88.15
DERCOS SENSI - SCALP SH CALM 200ML,1,78.0
DERCOS SENSI SCALP CR LIMP 300ML,1,95.91
DERCOS SH.ANTICASPA OLEOSOS 125G,1,58.21
DERCOS SH.ANTICASPA OLEOSOS 300G,1,86.25
DERCOS SH.ANTICASPA SECOS 300G,1,81.94
DERCOS SH.CASPA SENSIVEL 200ML,2,78.93
DERCOS SH.ENERGIZANTE 200ML,2,70.07
DERCOS SH.KERA SOLUTIONS 300ML,1,78.58
DERCOS SH.KERA SOLUTIONS REFIL 200ML,1,54.68
DERCOS SH.PSOLUTION 200G,1,116.44
DERIVA C MICRO GEL 30G,1,39.94
DERMACERIUM CR 30G,1,51.56
DERMACYD 200ML FEMINA BREEZE,3,18.66
DERMACYD 200ML FEMINA DELICATA,3,17.63
DERMACYD 200ML FEMINA FLORAL,4,16.54
DERMACYD 200ML FEMINA NEUTRALIZE,3,18.18
DERMACYD 200ML INFANTIL,3,16.65
DERMAEX 100 ML OLEO CICATRIZANTE,11,3.86
DERMAEX 200 ML OLEO CICATRIZANTE,2,6.81
DERMAFEME CALM SAB FR 100ML,6,11.99
DERMAFEME SAB INT 100ML AC HIALURONIC,6,11.99
DERMAFEME SAB INT 100ML PREBIOTICO,5,11.99
DERMAZINE 1% CREME BISNAGA 15G,1,8.56
DERMODEX TRATAMENTO CR 60G,1,77.57
DERMOSALIC POMADA 30 G,2,26.01
DERMOTIVIN CONTROL BARRA 90G,3,20.76
DERMOTIVIN OIL CONTROL SAB 300ML,2,49.96
DERMOTIVIN SAB 90G,1,22.29
DERMOTIVIN SAB LIQUIDO 120ML,3,37.51
DERMOTIVIN SAB LIQUIDO CONTROL 120ML,1,43.68
DERMOTIVIN SAB LIQUIDO CONTROL 70ML,2,24.35
DERMOTIVIN SAB LIQUIDO ORIGINAL 300ML,2,48.01
DERMOTIVIN SAB LIQUIDO ORIGINAL 70ML,3,24.45
DERMOTIVIN SALIX BARRA,1,22.32
DERMOTIVIN SALIX LIQUIDO 70ML,1,24.35
DERMOTIVIN SOFT SAB BARRA 90G,3,24.44
DERMOTIVIN SOFT SAB LIQUIDO 120ML,2,37.51
DERMOVANCE AI 500ML PUMP,1,116.0
DERMOVANCE CALM CREME BISN 40G,2,34.14
DERSANI BABY 50ML,4,18.0
DERSANI CREME HIDRATANTE 200ML,5,31.92
DERSANI HIDROGEL 150G,2,77.32
DERSANI HIDROGEL 30G,2,54.48
DERSANI HIDROGEL 85G,1,63.99
DERSANI HIDROGEL C-ALGINA 85G,1,70.2
DERSANI LC 100ML,1,32.0
DES KOLENE 200ML CACHINHOS TOQUE CARI,1,12.92
DES STICK DOVE FRESH 45G,9,19.58
DES STICK DOVE INVISIBLE DRY 45G,7,18.21
DES STICK DOVE MEN+CARE INVISIBL DRY,3,18.21
DES STICK DOVE ORIGINAL 45G,3,19.58
DES STICK DOVE POWDER 45G,4,19.19
DES.ADIDAS AER 91G FEM CONTROL,4,9.26
DES.ADIDAS AER 91G MASC PRO INVISIBLE,4,9.26
DES.AXE AER 90G ANTITRANSP.MARINE,5,9.0
DES.AXE AER 90G ANTITRANSP.MUSK,5,9.1
DES.AXE AER 90G ANTITRANSP.URBAN,2,10.55
DES.AXE AER 96G BODYSPRAY APOLLO,7,9.1
DES.AXE AER 96G BODYSPRAY BLACK,4,9.1
DES.AXE AER 96G BODYSPRAY DARK TEMPTA,3,9.0
DES.BOZZANO AER 90G CARVAO,1,5.64
DES.BOZZANO AER 90G S/PERFUME,5,7.29
DES.BOZZANO AER 94G CLINIC CLEAN,3,9.64
DES.CIMED SUPER 72H 150ML ACQUA,6,10.91
DES.CIMED SUPER 72H 150ML ACQUA,6,10.91
DES.CIMED SUPER 72H 150ML BERRY,12,10.91
DES.CIMED SUPER 72H 150ML BLOOM,12,10.91
DES.CIMED SUPER 72H 150ML CITRUS,6,10.91
DES.CIMED SUPER 72H 150ML COTTON,12,10.91
DES.CIMED SUPER 72H 150ML ENERGY,12,10.91
DES.CIMED SUPER 72H 150ML VELVET,12,10.91
DES.CIMED SUPER 72H 250ML ACQUA,5,15.42
DES.CIMED SUPER 72H 250ML CITRUS,6,15.42
DES.CIMED SUPER 72H 250ML ENERGY,9,15.42
DES.CIMED SUPER 72H 250ML WOOD,6,15.42
DES.CONTOURE SPR 80ML BOUQUET FRESH,3,5.57
DES.CONTOURE SPR 80ML CLASSIC FRESH,3,6.52
DES.CONTOURE SPR 80ML SUAVE LEMBRANCA,3,5.56
DES.CORP GIOVANNA BABY B SPLASH BLUE,1,21.85
DES.CORP GIOVANNA BABY B SPLASH CHERR,1,21.86
DES.CORP GIOVANNA BABY B SPLASH CLASS,1,21.65
DES.CR SERUM DOVE PREV ESCURECIMENTO,14,11.7
DES.CR SERUM DOVE PREV IRRITACAO 50G,5,11.86
DES.CR SERUM DOVE REPARA DIARIA 50G,6,11.86
DES.DOVE AER 145G CUIDA MEN+CARE L+/P,9,19.83
DES.DOVE AER 145G ORIGINAL L+/P-,14,21.55
DES.DOVE AER 150ML ALL BODY LAVENDER,6,15.66
DES.DOVE AER 150ML ALL BODY MEN+CARE,1,15.51
DES.DOVE AER 150ML ALL BODY MEN+CARE,2,13.97
DES.DOVE AER 150ML ALL BODY MEN+CARE,2,15.2
DES.DOVE AER 150ML ALL BODY RASPBERRY,5,15.2
DES.DOVE AER 150ML Energy Boost,6,13.97
DES.DOVE AER 87G LAVANDA & BAUNILHA,4,13.65
DES.DOVE AER 87G PESSEGO & LEITE ARRO,3,13.5
DES.DOVE AER 89G BEAUTY FINISH,3,13.47
DES.DOVE AER 89G ENERGIZANTE,6,13.5
DES.DOVE AER 89G GOFRESH PEPINO/CHA V,2,13.5
DES.DOVE AER 89G INVISIBLE DRY,7,12.71
DES.DOVE AER 89G LAVANDA E FLORES,10,13.51
DES.DOVE AER 89G MEN CLEAN COMFORT,3,13.34
DES.DOVE AER 89G MEN EXTRA FRESH,18,14.68
DES.DOVE AER 89G MEN INVISIBLE DRY,4,13.5
DES.DOVE AER 89G ORIGINAL,49,12.16
DES.DOVE AER 89G SENSITIVE SEM PERFUM,9,12.66
DES.DOVE AER MEN INVIS DRY LV+ PG-250,3,19.83
DES.DOVE AER MEN INVIS FRES MEN+CARE,6,13.5
DES.DOVE CLINICAL ORIGINAL 150ML,3,15.93
DES.DOVE CR 75G ALL BODY LAVENDER&CAM,5,17.2
DES.DOVE CR 75G ALL BODY RASPBERRY&RO,5,17.44
DES.DOVE ROLL-ON 30ML MEN CARE PROT.T,1,4.92
DES.DOVE ROLL-ON 30ML ORIGINAL,5,5.58
DES.DOVE ROLL-ON 50ML FRESH CARE LAVA,4,7.9
DES.DOVE ROLL-ON 50ML FRESH CARE PESS,2,7.9
DES.DOVE ROLL-ON 50ML INVISIBLE,2,8.73
DES.DOVE ROLL-ON 50ML MEN CONFORT,2,9.41
DES.DOVE ROLL-ON 50ML MEN INVISIBLE D,15,8.73
DES.DOVE ROLL-ON 50ML ORIGINAL,7,12.72
DES.DOVE ROLL-ON 50ML ROMA,1,9.41
DES.DOVE STICK Invisível Rain Lilies,3,22.13
DES.DOVE STICK Sakura Blossom 72h 45G,4,22.13
DES.DOVE Stick Serum Invisível 45g,2,22.13
DES.DOVE STICK TROPICAL HIBISCUS 45G,2,22.13
DES.DRYON AER 147G BERRY FRUITS,8,13.33
DES.DRYON AER 147G HA MISTY ROSE,10,13.33
DES.DRYON AER 147G HA SENSITIVE,10,13.33
DES.DRYON AER 147G HA SOFT CARE,11,13.33
DES.DRYON AER 147G INVISIBLE WOM,8,13.33
DES.DRYON AER 147G LAVANDA FLEUR,8,13.33
DES.DRYON AER 147G MEN 4SPORT,10,13.33
DES.DRYON AER 147G MEN FLOW,9,13.33
DES.DRYON AER 147G MEN ICEFRESH,7,13.33
DES.DRYON AER 147G MEN INVISIBLE,8,13.33
DES.DRYON AER 147G NATURAL FRESH,12,13.33
DES.DRYON AER 147G PINK POWDER,6,13.33
DES.DRYON AER 147G SPORTFIT,8,13.33
DES.GIOVANNA BABY AER 150ML BLUE,1,8.95
DES.GIOVANNA BABY AER 150ML BLUE ALUM,1,13.57
DES.GIOVANNA BABY AER 150ML BLUE C/2U,3,15.5
DES.GIOVANNA BABY AER 150ML CANDY C/2,2,16.79
DES.GIOVANNA BABY AER 150ML CHERRY,7,8.94
DES.GIOVANNA BABY AER 150ML CLASSIC,8,7.63
DES.GIOVANNA BABY AER 150ML MEN ACTIV,3,7.83
DES.GIOVANNA BABY AER 150ML MEN FRESH,4,7.83
DES.GIOVANNA BABY AER 150ML MEN POWER,1,7.83
DES.GIOVANNA BABY AER 150ML MEN URBAN,4,7.83
DES.GIOVANNA BABY AER 150ML NEUTRAL A,2,11.87
DES.GIOVANNA BABY AER 150ML ROSE GOLD,4,9.15
DES.GIOVANNA BABY AER 150ML SILVER,7,11.76
DES.GIOVANNA BABY CR.60G BISNAGA ROSE,1,8.42
DES.GIOVANNA BABY ROLL-ON 50ML BLUE,11,4.83
DES.GIOVANNA BABY ROLL-ON 50ML BLUEBE,1,4.65
DES.GIOVANNA BABY ROLL-ON 50ML CANDY,2,4.82
DES.GIOVANNA BABY ROLL-ON 50ML CHERRY,3,5.5
DES.GIOVANNA BABY ROLL-ON 50ML CLASSI,12,4.83
DES.GIOVANNA BABY ROLL-ON 50ML METAIS,1,6.05
DES.GRANADO P/PES 100ML TRADICIONAL,1,18.02
DES.HERBISSIMO CR 45G TWIST TRAD,1,8.51
DES.HERBISSIMO CR 55G ACTION,4,3.99
DES.HERBISSIMO CR 55G BIOPROT CEDRO,5,3.99
DES.HERBISSIMO CR 55G FRESH,6,3.99
DES.HERBISSIMO CR 55G KIDS,6,3.3
DES.HERBISSIMO CR 55G PROTECT,1,3.99
DES.HERBISSIMO CR 55G SENSITIVE,7,3.99
DES.HERBISSIMO CR 55G TRADICIONAL,12,3.99
DES.HERBISSIMO CR LAVANDA 55G,2,3.98
DES.HERBISSIMO CR TALCO 55G,11,3.99
DES.LEITE DE ROSAS AER 150ML TRADICIO,3,10.28
DES.LEITE DE ROSAS AER 48H 150ML,3,12.14
DES.MONANGE AER 90G DETOX FRESH,7,6.7
DES.MONANGE AER 90G ESPORTE,22,6.7
DES.MONANGE AER 90G FLOR DE LAVANDA,68,6.94
DES.MONANGE AER 90G FRUTAS VERMELHAS,27,6.7
DES.MONANGE AER 90G HIDR.INTENSIVA,34,6.7
DES.MONANGE AER 90G INVISIVEL,23,6.7
DES.MONANGE AER 90G PROT SECA,18,6.0
DES.MONANGE AER 90G SENSIVEL,51,6.0
DES.MONANGE AER 94G CLINIC CONFORT,8,11.06
DES.NIVEA AER 150ML *BLACK E PEARL,5,8.77
DES.NIVEA AER 150ML *MEN DRY IMPACT,5,8.77
DES.NIVEA AER 150ML *MEN INV.B&W FRES,3,8.77
DES.NIVEA AER 150ML *MEN INV.B&W POWE,3,10.13
DES.NIVEA AER 150ML *MEN SENSITIVE,4,8.77
DES.NIVEA AER 150ML DEEP AMADEIRADO,5,10.13
DES.NIVEA AER 150ML DEEP ORIGINAL,6,8.77
DES.NIVEA AER 150ML DEFENDE MAS,5,7.62
DES.NIVEA AER 150ML DERMO DEFENDE FEM,6,7.62
DES.NIVEA AER 150ML DRY COMFORT,3,9.29
DES.NIVEA AER 150ML FRESH NATURAL,13,8.76
DES.NIVEA AER 150ML INV.B&W CLEAR,5,10.13
DES.NIVEA AER 150ML INV.B&W FRESH,4,8.77
DES.NIVEA AER 150ML PEARL BEAUTY,10,8.77
DES.NIVEA AER 150ML PROTECT&CARE,5,8.77
DES.NIVEA AER 150ML RESTAURA FEM,5,7.62
DES.NIVEA AER 150ML UNIFORMIZA,4,7.62
DES.NIVEA AER 200ML B&W M INVISIBLE,1,11.26
DES.NIVEA AER 200ML DERMA DEFENDE FEM,3,10.34
DES.NIVEA AER 200ML DERMA DEFENDE MAS,4,10.34
DES.NIVEA CLINICAL FEM 150ML,4,10.18
DES.NIVEA ROLL-ON 50ML *MEN DRY IMPAC,2,6.92
DES.NIVEA ROLL-ON 50ML DERMA DEFENDE,6,7.1
DES.NIVEA ROLL-ON 50ML DRY REGULAR,3,7.75
DES.NIVEA ROLL-ON 50ML INV.B&W CLEAR,4,8.18
DES.NIVEA ROLL-ON 50ML INV.B&W POWER,3,8.43
DES.NIVEA ROLL-ON 50ML ORIGINAL PROTE,4,7.77
DES.NIVEA ROLL-ON 50ML PEARL BEAUTY,4,8.18
DES.NIVEA ROLL-ON 50ML RESTAURA FEM,2,7.7
DES.NIVEA ROLL-ON 50ML S/PERFUME,2,7.7
DES.NIVEA ROLL-ON 50ML UNIFORMIZA FEM,5,7.7
DES.NIVEA SPRAY 90ML FRESH,9,4.81
DES.NIVEA SPRAY 90ML MEN FRESH ACTIVE,8,4.97
DES.PHYTODERM 200ML BODY SPLASH INTEN,1,20.01
DES.PHYTODERM 200ML SPLASH SEXY GIRL,1,20.01
DES.RASTRO SPR 90ML,5,7.4
DES.REXONA AER 145G ANTB INVIS L+/P-,7,17.67
DES.REXONA AER 145G V8 MEN L+/P-,10,17.67
DES.REXONA AER 148G ANTB INVISIBLE,6,17.67
DES.REXONA AER 148G COTTON DRY LV+PG-,7,17.86
DES.REXONA AER 148G POWDER DRY LV+PG-,20,17.67
DES.REXONA AER 150ML ALL BODY ACTIVE,2,14.49
DES.REXONA AER 250ML FEM INVISIBLE,5,17.67
DES.REXONA AER 250ML L+/P- ACTI DRY M,5,17.67
DES.REXONA AER 250ML L+/P-INVISIBLE M,6,17.67
DES.REXONA AER 90G ALL BODY WILD ROSE,3,10.39
DES.REXONA AER 90G FEM ACTIVE EMOTION,9,11.83
DES.REXONA AER 90G FEM ANTIBACTERIAL/,9,11.71
DES.REXONA AER 90G FEM BAMBOO,7,11.71
DES.REXONA AER 90G FEM ERVA DOCE,13,11.59
DES.REXONA AER 90G FEM FRUTAS VERMELH,7,11.71
DES.REXONA AER 90G FEM INVISIBLE,5,11.71
DES.REXONA AER 90G FEM POWDER,26,11.97
DES.REXONA AER 90G FEM SEM PERFUME,4,11.71
DES.REXONA AER 90G MEN ACTIVE,8,12.17
DES.REXONA AER 90G MEN ANTIBAC/INVISI,3,11.71
DES.REXONA AER 90G MEN ANTIBACTERIAL,6,11.71
DES.REXONA AER 90G MEN IMPACTO,4,11.83
DES.REXONA AER 90G MEN INVISIBLE,3,11.71
DES.REXONA AER 90G MEN SEM PERFUME,3,11.71
DES.REXONA AER 90G MEN V8,6,12.34
DES.REXONA AER 90G MEN XTRA COOL,3,11.71
DES.REXONA AER 91G CLINICAL CLASSIC,5,14.69
DES.REXONA AER 91G CLINICAL CLEAN,4,14.69
DES.REXONA AER 91G CLINICAL EXT DRY,4,14.7
DES.REXONA AER 91G CLINICAL S/PERFUME,3,14.69
DES.REXONA AER 91G CLINICAL SPORT,6,14.7
DES.REXONA ALL BODY BOLD SPIR 150ML,2,13.19
DES.REXONA ALL BODY FRESH CIT 150ML,2,13.19
DES.REXONA ALL BODY OCEAN RUS 150ML,2,13.19
DES.REXONA CLINICAL 48G FEM EXTRA DRY,19,19.37
DES.REXONA CLINICAL 48G MEN CLEAN,3,22.44
DES.REXONA CLINICAL AER 150ML INVISIB,5,15.2
DES.REXONA CLINICAL AER 150ML MEN INT,2,15.02
DES.REXONA CLINICAL AER 150ML MEN INV,3,14.49
DES.REXONA CR 75G ALL BODY ACTIVE FR,2,14.24
DES.REXONA CR 75G ALL BODY OCEAN RUS,2,14.24
DES.REXONA CR 75G ALL BODY WILD ROSE,2,15.19
DES.REXONA ROLL-ON 30ML FEM BAMBOO CO,3,4.86
DES.REXONA ROLL-ON 30ML FEM POWDER CO,6,4.94
DES.REXONA ROLL-ON 30ML MEN V8,7,28.7
DES.REXONA ROLL-ON 50ML FEM BAMBOO,1,8.0
DES.REXONA ROLL-ON 50ML FEM COTTON,2,8.0
DES.REXONA ROLL-ON 50ML FEM INVISIBLE,1,8.37
DES.REXONA ROLL-ON 50ML MEN ACTIVE,3,8.26
DES.REXONA ROLL-ON 50ML MEN INVISIBLE,2,8.0
DES.REXONA ROLL-ON 50ML MEN V8 DRY,7,5.4
DES.REXONA ROLL-ON 50ML POWDER DRY,33,5.48
DES.REXONA STICK 45G FEM POWDER DRY,3,16.52
DES.REXONA STICK 45G FEM TROPICAL CIT,2,11.99
DES.REXONA STICK 45G MEN ACTIVE DRY,2,11.99
DES.REXONA STICK 45G MEN V8 DRY,3,11.99
DES.TABU CR 55G,7,4.81
DES.TABU CR 55G FLORES,8,4.81
DES.TABU CR 55G ROMANCE,8,4.81
DES.TABU CR 55G S/PERFUME,11,3.45
DES.TABU CR 55G SEGREDOS,7,4.46
DES.TABU ROLL-ON 50ML PELE SENSIVEL,3,5.82
DES.TRES MARCHAND SPRAY 100ML CLASSIC,9,3.14
DESALEX 5MG 10CP,1,64.86
DESALEX D12 10CP*,1,38.63
DESALEX XP 100ML,1,53.87
DESCOLORANTE MARCIA 20G ALGAS MARINHA,10,2.75
DESCOLORANTE MARCIA 20G AMETISTA,1,2.94
DESCOLORANTE MARCIA 20G ARGAN,11,2.87
DESCOLORANTE MARCIA 20G CAMOMILA,14,3.23
DESCOLORANTE MARCIA 20G COCO,6,3.99
DESCOLORANTE MARCIA 20G GERMEN DE TRI,19,2.94
DESCOLORANTE MARCIA 20G GIRASOL,11,2.94
DESCOLORANTE MARCIA 20G PROT.DA SEDA,6,2.94
DESCOLORANTE MARCIA 20G QUERATINA,3,2.94
DESCOLORANTE MARCIA 50G CAMOMILA,12,6.07
DESCOLORANTE PROBELLE 300G AMETISTA P,8,13.92
DESCOLORANTE PROBELLE 300G DIAMANTE P,6,13.92
DESCOLORANTE PROBELLE 300G DUST FREE,5,13.92
DESCOLORANTE PROBELLE 300G PEROLADO P,5,13.92
DESCOLORANTE YAMA 20G AMETISTA,5,5.34
DESCOLORANTE YAMA AMETISTA 300G,7,22.15
DESLAC LACTASE 15ML GTS,4,26.99
"DESLORATADINA 0,5 MG/ML XPE 100ML",8,11.84
"DESLORATADINA 0,5 MG/ML XPE 60ML",5,7.95
DESLORATADINA 100ML BIOSINTETICA,2,12.96
DESLORATADINA 5MG 10CP EUROFARMA,5,30.58
DESLORATADINA 5MG 10CP PHARLAB,3,5.2
DESLORATADINA 60ML BIOSINTETICA,2,7.45
DESOD BAR SECRET PH BALANC LAVENDER 4,2,20.49
DESOD BAR SECRET POWDER PROT COTTON 4,3,20.49
DESOG+ETINILESTRADIOL 150+20MG 21CP B,3,7.02
"DESOGESTREL 0,075MCG 28CP EUROFARMA",2,20.71
"DESOGESTREL 0,075MG 28CP SANDOZ",2,21.6
DESOGESTREL G. LEG 75 MCG 28 CP,1,6.55
"DESONIDA CR 0,5MG 30G GERMED",2,23.88
DESVE 100MG 30COMP*,1,79.81
DESVE 50MG 30COMP*,1,66.33
DEWS 5MG GTS 10ML,1,27.79
DEXA CITONEURIN NFF 3X3ML,2,31.1
DEXADOR 5000MG 20CP,2,43.72
DEXALGEN NF SOL INJ 6 AMP,1,41.09
DEXAMET+NEOM+POLIM 5ML GEOLAB,3,8.16
DEXAMETASONA 1MG CR 10G TEUTO,5,7.39
DEXAMETASONA 4MG 10CP TEUTO,12,8.96
